timestamp,tau_raw_ms,tau_filt_ms,err_std_mm,err_prop_mm
6.026,120.2,128.4,0.98,0.13
6.036,112.3,127.7,1.92,0.15
6.046,116.4,127.3,1.29,0.13
6.0561,151.3,128.2,3.18,0.15
6.0661,126.8,128.2,0.11,0.11
6.0761,143.5,128.8,2.01,0.12
6.0861,158.4,130.0,3.75,0.16
6.0961,178.0,131.9,5.99,0.23
6.1061,113.7,131.2,2.46,0.18
6.1161,190.6,133.5,7.36,0.27
6.1261,174.4,135.2,4.88,0.18
6.1361,120.6,134.6,2.2,0.18
6.1461,200.7,137.2,8.01,0.29
6.1562,206.2,140.0,8.23,0.29
6.1662,121.1,139.2,3.02,0.21
6.1762,143.5,139.4,0.32,0.12
6.1862,197.2,141.7,6.76,0.24
6.1962,192.2,143.7,5.72,0.19
6.2062,136.6,143.4,1.69,0.17
6.2162,139.8,143.3,1.2,0.15
6.2262,156.6,143.8,1.1,0.11
6.2362,168.7,144.8,2.52,0.1
6.2462,182.8,146.3,4.13,0.13
6.2563,158.5,146.8,0.89,0.11
6.2663,168.5,147.7,2.05,0.1
6.2763,197.6,149.7,5.56,0.17
6.2863,127.2,148.8,3.69,0.26
6.2963,149.3,148.8,0.76,0.15
6.3063,196.0,150.7,5.25,0.15
6.3163,214.7,153.3,7.29,0.21
6.3263,176.8,154.2,2.12,0.1
6.3363,179.3,155.2,2.3,0.09
6.3463,137.3,154.5,3.21,0.25
6.3564,171.7,155.2,1.4,0.1
6.3664,180.7,156.2,2.41,0.09
6.3764,152.0,156.0,1.44,0.18
6.3864,155.0,156.0,0.99,0.16
6.3964,166.2,156.4,0.63,0.12
6.4064,130.7,155.4,3.98,0.27
6.4164,161.2,155.6,0.29,0.12
6.4264,150.3,155.4,1.3,0.16
6.4364,162.2,155.7,0.37,0.12
6.4464,141.6,155.1,2.34,0.2
6.4565,218.8,157.6,7.52,0.24
6.4665,189.2,158.9,3.35,0.1
6.4765,197.8,160.5,4.23,0.12
6.4865,208.9,162.4,5.37,0.15
6.4965,179.8,163.1,1.42,0.1
6.5065,138.7,162.1,3.92,0.27
6.5165,183.7,163.0,2.02,0.09
6.5265,188.6,164.0,2.51,0.09
6.5365,204.3,165.6,4.33,0.12
6.5465,172.8,165.9,0.38,0.13
6.5566,142.3,165.0,3.79,0.25
6.5666,157.7,164.7,1.64,0.17
6.5766,165.4,164.7,0.61,0.13
